"","w","n_imperv","n_perv","s_imperv","s_perv","k_sat","per_routed","cmelt","Tb","A1","B1"
"99",1486.09059327282,0.183,0.084,8.657,7.514,6.313,94.4,2.507,1.945,0.00448,2.764
"100",575.450985459611,0.193,0.167,8.431,9.854,1.084,12.6,1.992,0.082,0.00887,2.463
"101",944.458289770409,0.093,0.077,1.341,0.615,1.672,10.9,3.968,-0.07,0.00795,2.112
"102",1038.9225683175,0.059,0.147,9.218,7.311,8.868,55.2,1.759,1.887,0.00702,1.827
"103",1274.46282934397,0.162,0.096,9.76,2.674,4.736,91.1,0.016,-2.681,0.00813,2.363
"104",1096.66206338443,0.042,0.058,4.906,5.819,9.99,44.7,0.765,-1.942,0.00697,2.695
"105",1240.06066401489,0.06,0.145,3.035,9.195,0.48,33.1,3.942,2.408,0.00028,1.845
"106",1238.65251871757,0.088,0.195,1.772,7.038,3.08,95.5,2.368,-2.523,0.00631,1.371
"107",1219.72154662944,0.085,0.086,4.395,4.05,4.323,71.1,0.082,-0.824,0.00206,1.184
"108",557.529433630407,0.038,0.039,0.155,4.233,4.703,38.1,1.712,1.129,0.00443,1.499
"109",842.882902594283,0.131,0.046,4.366,2.735,0.761,43.7,2.148,0.002,0.00526,2.938
"110",519.648670917377,0.171,0.166,8.523,3.147,5.054,29.2,1.956,-0.011,0.00408,2.78
"111",1350.76541919261,0.147,0.153,0.21,0.473,5.216,58.9,1.387,-2.087,0.00733,2.493
"112",602.201946545392,0.05,0.167,7.858,7.392,2.95,25.3,1.378,-2.594,0.00435,1.169
"113",1341.19041659869,0.145,0.171,6.33,1.721,6.354,97.4,3.546,-2.175,0.00784,2.599
"114",1261.7809115909,0.166,0.028,1.236,3.619,3.034,64.6,0.166,2.802,0.00738,2.787
"115",819.179924670607,0.051,0.171,8.411,7.358,0.87,50.3,1.296,-1.921,0.00843,1.257
"116",1368.06770670228,0.165,0.033,6.91,0.974,7.781,22.4,1.79,-0.672,0.00844,2.839
"117",1201.98657410219,0.164,0.161,7.545,9.237,2.751,17.3,2.251,-1.187,0.00803,1.972
"118",1181.6044903826,0.157,0.06,0.401,9.432,0.242,43.5,1.462,-2.227,0.00575,1.256
"119",569.755552103743,0.073,0.024,9.906,5.338,4.97,27.2,1.763,-0.862,0.00903,2.15
"120",1187.49856366776,0.138,0.135,5.569,9.762,9.535,1.8,0.549,1.609,0.00664,2.295
"121",559.551127254963,0.035,0.101,3.37,4.063,9.548,98.7,3.773,0.491,0.00393,2.712
"122",1480.04502989352,0.096,0.179,6.899,8.426,7.78,27.7,0.277,-1.93,0.00812,2.713
"123",521.783570991829,0.193,0.184,8.347,1.461,8.178,82.1,0.309,1.279,0.00392,2.687
"124",1480.99955776706,0.118,0.123,0.71,6.732,6.818,13.7,2.593,-1.655,0.00889,1.363
"125",863.426933065057,0.035,0.195,9.16,6.638,6.707,71.6,2.799,1.789,0.00642,1.318
"126",822.615920566022,0.131,0.181,6.051,0.026,8.851,6.4,1.608,0.767,0.00258,1.31
"127",1180.88980461471,0.181,0.172,8.019,9.3,1.441,48.1,3.842,-2.976,0.00589,2.447
"128",569.66659380123,0.187,0.104,9.572,7.481,8.038,1,1.784,1.644,0.00328,1.346
"129",839.060506084934,0.159,0.16,8.546,7.016,2.266,65,1.796,2.805,0.00185,1.129
"130",807.421088917181,0.126,0.116,7.868,2.008,7.975,65,1.86,2.705,0.0096,1.053
"131",620.164513587952,0.2,0.178,9.157,9.84,7.698,39.4,0.253,-1.787,0.00671,2.396
"132",740.095076151192,0.154,0.109,2.212,5.293,0.586,63.2,1.741,-2.783,0.00171,2.754
"133",661.928803892806,0.108,0.142,3.873,4.248,8.529,92.7,1.396,-0.186,0.00437,1.641
"134",1227.1606225986,0.031,0.025,0.478,4.095,9.239,80,2.428,-1.66,0.00684,1.948
"135",563.569418853149,0.102,0.195,5.728,1.271,5.242,16.7,0.579,-0.527,0.00071,2.41
"136",739.284299546853,0.069,0.125,9.092,2.347,7.183,56,3.724,-2.74,0.00834,1.888
"137",572.09906517528,0.134,0.048,0.861,0.102,3.283,57.6,3.713,0.937,0.00339,2.15
"138",1227.04657097347,0.157,0.164,6.086,6.733,4.146,30.3,0.814,2.592,0.00297,2.963
"139",694.06303204596,0.038,0.167,6.873,5.445,3.519,70.5,3.942,0.83,0.00952,2.367
"140",961.507200961933,0.14,0.121,6.669,9.667,7.617,27.3,2.164,2.897,0.00389,2.295
"141",1048.2258668635,0.074,0.078,2.769,7.618,4.113,40.1,3.7,0.424,0.00821,2.533
"142",641.351486090571,0.071,0.151,7.091,6.43,9.581,12.3,1.862,2.712,0.00964,2.305
"143",1344.66495621018,0.032,0.187,9.383,9.909,8.085,60.4,0.541,-1.309,0.00927,1.808
"144",791.31451388821,0.191,0.039,6.552,9.298,1.149,92.3,1.004,-2.946,0.00588,1.909
"145",973.641568794847,0.01,0.077,8.531,9.71,3.383,72.4,1.799,0.833,0.00318,1.875
"146",992.049596970901,0.149,0.067,2.435,7.178,6.169,88.1,2.085,-2.4,0.00361,1.116
"147",586.777011631057,0.139,0.123,6.473,7.474,2.928,97.3,2.499,2.894,0.00323,1.12
"148",1339.89461930469,0.179,0.018,7.883,6.306,6.458,95.4,0.994,-0.321,2e-04,1.63
"149",679.97110192664,0.092,0.11,8.777,4.595,0.047,92.2,0.751,-1.399,0.00215,1.94
"150",708.284406457096,0.15,0.101,0.642,3.049,1.376,58.1,3.365,0.419,0.00447,2.427
"151",1441.16334733553,0.114,0.026,6.937,1.824,4.401,88.8,2.912,2.663,0.00948,2.806
"152",1109.06081437133,0.09,0.068,1.845,4.469,9.076,0.7,0.427,-2.608,0.0079,2.88
"153",805.130216525868,0.186,0.165,7.776,4.861,9.903,48,0.03,-1.593,0.0069,1.349
"154",650.201852433383,0.043,0.056,0.546,0.805,9.483,11.6,1.742,-2.452,0.00364,2.329
"155",1319.03572170995,0.14,0.189,8.016,2.608,7.575,2.2,0.415,-2.83,0.00874,2.365
"156",635.478909593076,0.15,0.086,9.441,7.083,8.101,32.5,1.575,-2.663,0.00872,2.441
"157",985.038368031383,0.107,0.056,2.834,3.398,6.705,6.7,3.404,0.794,0.00721,1.583
"158",1372.5558638107,0.089,0.034,4.041,6.595,4.84,23.3,3.538,0.119,0.00969,2.3
"159",1018.40794831514,0.016,0.165,6.099,7.353,9.514,51.5,3.226,0.504,0.00271,2.089
"160",1068.70872690342,0.085,0.032,7.455,4.82,6.914,11.3,3.322,2.039,0.00916,1.523
"161",1457.12565490976,0.154,0.2,4.734,0.76,9.094,58.5,3.487,1.05,0.00505,2.431
"162",1042.14643267915,0.076,0.179,7.314,4.892,2.703,26.6,2.031,-2.359,0.00765,1.522
"163",1004.52112173662,0.141,0.179,6.324,9.092,8.086,99,2.739,-0.255,0.00849,2.249
"164",893.049518577754,0.185,0.02,0.054,8.43,2.903,22.2,3.714,1.251,0.0093,2.901
"165",535.558760166168,0.193,0.163,2.166,4.59,6.766,44.9,2.814,2.166,0.00449,2.824
"166",543.468929594383,0.073,0.047,5.473,4.481,0.487,16.2,3.402,2.657,0.00032,2.306
"167",598.520393949002,0.15,0.071,0.829,9.99,8.337,70.5,3.897,2.433,0.00574,2.437
"168",1215.86270676926,0.088,0.128,4.848,8.026,2.238,54.9,1.716,-0.91,0.0064,2.378
"169",709.835009183735,0.079,0.015,0.421,6.716,2.539,7.8,3.216,-2.481,0.0095,2.577
"170",690.269322367385,0.114,0.137,5.151,4.774,1.973,80.7,2.017,2.516,0.00061,1.662
"171",532.619342906401,0.032,0.056,6.631,7.425,6.621,18.2,0.763,-0.72,0.00834,1.634
"172",583.314097952098,0.045,0.021,7.609,0.238,1.614,23.2,2.081,1.308,0.00274,1.414
"173",1166.08339967206,0.062,0.068,7.838,1.413,2.678,6,3.695,-2.955,0.00715,1.658
"174",961.458190344274,0.034,0.099,5.618,4.161,6.96,68.8,1.336,-1.404,0.00975,2.855
"175",572.573168668896,0.05,0.025,9.835,4.422,6.659,5.8,0.751,-0.976,0.00631,2.13
"176",643.918230663985,0.051,0.096,8.047,8.85,4.618,74,1.072,-1.955,0.00383,1.034
"177",558.696428081021,0.188,0.032,2.398,2.362,9.972,77.8,3.185,-0.176,0.00727,2.999
"178",501.779624028131,0.015,0.173,2.86,7.766,5.354,94.4,2.049,-1.347,0.00057,1.841
"179",817.937965504825,0.028,0.05,6.505,7.655,0.978,88.7,0.019,2.7,0.0011,1.747
"180",589.54077004455,0.13,0.057,3.047,1.185,8.524,22.1,3.745,-1.146,0.00958,2.925
"181",693.330243695527,0.177,0.156,8.082,8.022,0.809,77.4,1.67,-0.928,0.00222,1.198
"182",1187.51993309706,0.103,0.118,4.14,9.633,8.199,10.8,0.939,0.678,0.00104,1.662
"183",1481.92222253419,0.033,0.186,7.468,1.427,9.977,53.6,0.645,-2.658,0.00361,2.639
"184",701.767748687416,0.137,0.06,0.707,0.365,6.159,69.2,0.253,1.914,0.00485,2.976
"185",1279.50714528561,0.052,0.075,4.749,0.363,6.737,89,1.246,0.799,0.0058,2.783
"186",904.128396185115,0.044,0.138,3.963,9.806,8.837,24.5,1.596,1.327,0.00241,2.785
"187",1175.4212374799,0.126,0.051,0.147,9.046,0.02,10.1,1.027,-2.339,0.00837,1.641
"188",774.679024936631,0.194,0.182,8.571,4.92,0.758,46,1.514,-0.732,0.00411,1.295
"189",747.420264407992,0.02,0.18,2.76,3.347,8.746,38.8,2.914,2.897,0.00404,2.549
"190",1071.35193352588,0.077,0.144,3.866,0.341,3.154,72.7,0.082,-0.928,0.00215,1.914
"191",1494.71186706796,0.16,0.021,7.624,4.354,8.867,57.7,0.274,0.693,0.00863,2.492
"192",1241.09265953302,0.127,0.034,1.179,8.271,5.481,96.2,0.966,-1.049,0.0022,2.877
"193",607.540761120617,0.052,0.015,7.553,8.787,5.456,81.2,0.668,2.656,0.00675,2.571
"194",601.74975078553,0.136,0.021,2.747,1.195,0.531,43.7,0.975,-2.288,0.00548,2.607
"195",1116.8048933614,0.187,0.118,2.016,0.455,9.468,51.9,1.764,1.622,0.0078,1.201
"196",867.169082397595,0.164,0.167,2.995,8.157,7.836,98.7,3.373,-2.977,0.00525,1.162
"197",985.902932006866,0.196,0.104,0.766,1.885,7.113,95,2.059,0.238,0.00607,1.433
"198",1368.40031738393,0.114,0.13,8.273,8.513,8.213,17.5,1.542,-0.209,0.00699,2.614
"199",1004.5779356733,0.113,0.027,0.539,5.681,1.229,25.9,2.349,1.945,0.00482,1.296
"200",1391.44819485955,0.137,0.092,7.123,6.095,2.434,14.4,3.45,1.689,0.0096,2.696
"201",863.738463493064,0.17,0.104,8.093,7.88,8.379,64.2,1.209,1.873,0.00199,2.476
"202",1240.25318608619,0.06,0.089,1.66,4.678,9.796,85.5,2.423,0.593,0.00372,2.714
"203",970.033950870857,0.131,0.057,0.926,6.995,7.911,60.9,3.377,-1.615,0.00545,1.17
"204",647.984223440289,0.015,0.064,5.243,5.964,5.623,1.9,0.998,-1.222,0.00546,2.587
"205",1416.17401968688,0.147,0.144,8.511,8.138,5.094,95.6,3.39,-1.49,0.00316,1.648
"206",522.534747375175,0.155,0.18,5.562,8.383,4.887,25.6,2.804,0.461,0.00283,2.407
"207",1065.92722586356,0.094,0.029,9.824,9.35,9.535,45.4,3.607,2.826,0.00999,2.646
"208",1148.99651217274,0.044,0.065,9.573,8.647,4.635,57.6,1.376,2.935,0.0062,1.407
"209",820.143925026059,0.131,0.158,3.3,4.091,5.778,83,3.183,-0.795,0.00086,2.186
"210",1493.22942341678,0.195,0.121,2.672,6.511,6.43,94.2,0.957,-0.217,0.00202,2.113
"211",1241.3437529467,0.139,0.105,9.923,3.759,2.99,72.9,1.31,2.905,0.00698,2.175
"212",1121.51069403626,0.124,0.029,3.603,9.905,4.891,71.1,2.764,1.985,0.00754,1.146
"213",1381.73899427056,0.149,0.138,8.044,9.823,3.685,76.6,2.324,-0.779,0.00192,2.232
"214",633.990462636575,0.034,0.198,5.585,3.976,0.891,84.3,2.049,-2.946,0.0069,1.721
"215",1144.32099298574,0.054,0.061,8.126,5.091,3.017,3.4,0.189,-0.888,0.00724,1.014
"216",710.501446388662,0.024,0.124,9.396,7.142,7.969,54.7,3.044,0.647,0.00376,2.983
"217",532.445776509121,0.051,0.144,1.831,9.96,4.17,41.3,0.139,-0.934,0.00904,2.81
"218",1172.80291719362,0.115,0.025,5.152,5.727,1.164,43.6,3.17,-1.641,0.00341,2.774
"219",782.065731240436,0.157,0.162,0.699,2.779,4.917,36.5,1.687,1.632,0.00176,2.757
"220",1104.20098039322,0.118,0.198,3.102,7.046,6.703,13.8,1.922,1.405,0.00403,2.856
"221",707.181362202391,0.035,0.076,0.401,2.629,6.745,75,0.768,-0.535,0.0074,2.136
"222",794.648218899965,0.182,0.163,7.242,1.239,6.981,5.9,1.388,-1.336,0.00397,2.971
"223",1269.12502665073,0.176,0.025,2.642,2.979,0.895,50.9,1.748,-1.09,0.00809,2.427
"224",670.514007098973,0.187,0.055,8.259,1.394,5.15,35.2,0.141,-1.762,0.00309,2.921
"225",1103.1204983592,0.197,0.015,9.166,7.582,4.588,3.5,1.085,-0.086,0.00621,1.313
"226",1367.9152559489,0.086,0.041,8.438,7.573,1.219,35.5,2.759,1.03,0.009,2.779
"227",1187.91890074499,0.047,0.051,2.305,4.23,7.258,21.7,1.428,0.961,0.00512,1.122
"228",1073.1259228196,0.096,0.114,7.959,2.279,7.808,10.3,3.048,1.765,0.00233,1.745
"229",961.300402414054,0.037,0.069,9.264,2.736,3.329,85.9,1.076,0.874,0.00907,1.095
"230",1283.89298520051,0.135,0.126,5.792,1.481,0.847,15.5,0.015,0.239,0.00403,1.083
"231",1442.11608939804,0.161,0.19,4.677,8.283,3.177,1,0.777,2.66,0.00485,1.971
"232",897.380277514458,0.13,0.035,0.505,8.619,3.861,79.5,2.089,-0.943,0.00031,2.404
"233",953.382570296526,0.121,0.18,2.926,2.595,6.6,19.1,3.26,-0.327,0.00482,2.381
"234",1327.32488680631,0.163,0.185,4.147,6.368,0.57,85.6,0.463,0.193,0.00918,1.612
"235",1388.30720307305,0.026,0.131,0.933,9.324,4.746,2.3,1.659,1.114,0.00426,1.384
"236",546.864722156897,0.091,0.04,2.481,0.203,1.053,84.5,3.586,1.395,0.00446,1.839
"237",1384.9671643693,0.16,0.155,1.952,0.119,1.795,46.9,1.181,1.097,0.00594,2.338
"238",773.365007480606,0.016,0.171,2.241,6.322,7.599,37.1,2.025,0.869,0.00439,2.051
"239",1126.92698207684,0.16,0.152,7.11,6.896,1.547,12.7,3.022,-1.158,0.00608,1.741
"240",895.412458339706,0.07,0.074,9.186,5.599,1.83,36.9,2.711,-1.277,0.00499,1.563
"241",1192.18785315752,0.139,0.012,3.607,3.22,5.823,97.1,0.75,2.132,0.00782,1.634
"242",1311.113482574,0.163,0.182,9.031,8.246,3.101,75.4,1.423,-1.4,0.003,2.254
"243",590.317683061585,0.14,0.132,3.389,2.632,9.537,25.5,0.866,-1.416,0.00023,2.489
"244",875.91794738546,0.164,0.064,6.429,1.383,0.069,74,1.966,1.997,0.00588,1.534
"245",1214.47207103483,0.111,0.01,2.45,6.758,1.612,25.8,0.24,-2.588,0.00656,2.279
"246",1469.66120391153,0.167,0.048,2.917,7.82,6.135,53.2,1.464,2.161,0.00196,1.964
"247",1275.40003973991,0.075,0.021,5.346,7.239,3.551,68.6,1.669,1.831,0.00234,2.979
"248",817.037331638858,0.094,0.08,4.377,1.365,6.659,27.1,3.605,-0.137,0.00758,2.539
"249",599.224258447066,0.106,0.126,4.875,8.233,4.989,24.9,1.119,-0.017,0.00049,1.231
"250",861.654055071995,0.027,0.029,3.868,0.593,5.794,98.3,3.278,0.413,0.00168,2.187
"251",1305.9420469217,0.156,0.041,9.667,8.688,4.637,66,2.234,0.6,0.00361,2.751
"252",927.497871452942,0.152,0.084,9.873,2.902,7.925,50.1,0.327,-0.497,0.00858,1.836
"253",905.488369986415,0.149,0.019,4.361,9.122,1.056,21.9,0.948,-0.322,0.00289,1.802
"254",631.365202600136,0.104,0.039,7.864,0.454,9.507,30.1,3.654,-1.014,0.0017,2.306
"255",1189.66579344124,0.173,0.169,7.897,5.632,4.187,78.3,1.199,-2.303,0.003,1.815
"256",1471.47282608785,0.083,0.106,8.955,5.835,2.853,47.8,2.03,-2.251,0.00749,2.623
"257",1385.19491185434,0.054,0.078,0.504,5.482,3.803,56.5,2.045,-2.128,0.00655,2.403
"258",541.222496889532,0.055,0.104,9.975,4.92,1.088,41.7,2.529,-1.506,0.00167,1.015
"259",796.078195562586,0.112,0.143,3.297,3.963,4.93,16.6,2.223,2.176,0.00842,1.687
"260",529.6326931566,0.138,0.011,9.79,5.281,0.115,50.2,0.411,-1.502,0.00404,1.407
"261",1464.03745561838,0.048,0.074,3.983,4.076,9.143,78.7,0.828,-0.474,0.00793,2.603
"262",1096.35313227773,0.063,0.188,8.155,2.049,9.096,97.8,0.979,2.311,0.0026,1.281
"263",960.129803512245,0.081,0.184,6.51,1.82,9.794,89.8,2.65,0.803,0.0086,1.517
"264",1458.6957199499,0.034,0.018,8.058,5.299,9.683,68.6,1.037,2.078,0.00655,2.151
"265",656.552664004266,0.197,0.169,2.969,4.558,4.277,18.9,3.86,0.977,0.00787,2.535
"266",1048.62892418168,0.118,0.06,8.878,7.051,4.801,75.6,3.092,-0.682,0.00986,1.754
"267",521.780303912237,0.073,0.079,1.857,4.463,0.438,95.6,2.009,1.134,0.00307,1.173
"268",1466.79552295245,0.016,0.018,4.637,1.802,6.994,68.9,1.87,-2.745,0.00673,1.592
